date,import_price_index,core_pce_yoy(%),inflation_rate
2025-09,Null,NUll,3.0%
2025-08,141.4,2.9%,2.9%
2025-07,141.0,2.9%,2.7%
2025-06,140.7,2.8%,2.7%
2025-05,141.0,2.7%,2.4%
2025-04,141.7,2.5%,2.3%
2025-03,141.6,2.6%,2.4%
2025-02,142.2,2.8%,2.8%
2025-01,141.6,2.6%,3.0%
2024-12,141.2,2.8%,2.9%
2024-11,140.9,2.8%,2.7%
